PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PVEM_MORENA,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,005,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,005,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,005,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,006,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,006,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,006,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,007,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,007,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,007,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,008,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,008,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,008,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
